speaker_id,term_id,n,c,tf,tfidf
201,920,1,1,0.0014204545454545455,0.00036817319121647604
201,922,1,1,0.0014204545454545455,0.0020912908408029125
201,923,4,1,0.005681818181818182,0.011076079583209731
201,924,3,1,0.004261363636363636,0.0010304822324445017
201,936,1,1,0.0014204545454545455,0.0009526085308126191
201,939,1,1,0.0014204545454545455,0.0005757414237139733
201,941,1,1,0.0014204545454545455,0.00036817319121647604
201,945,1,1,0.0014204545454545455,0.001289768922566318
201,948,4,1,0.005681818181818182,5.6083829694853686e-05
201,958,2,1,0.002840909090909091,0.0004864737393786056
201,974,1,1,0.0014204545454545455,0.00021313843351041353
201,975,3,1,0.004261363636363636,6.345833267618646e-05
201,980,1,1,0.0014204545454545455,0.0011409971178503902
201,1018,1,1,0.0014204545454545455,0.00018444044190773308
201,1020,1,1,0.0014204545454545455,0.0004781337356891724
201,1021,1,1,0.0014204545454545455,0.0009209659246888234
201,1023,1,1,0.0014204545454545455,0.0023414204701433686
201,1033,1,1,0.0014204545454545455,0.001413561785803392
201,1040,3,1,0.004261363636363636,0.00010700591157541674
201,1042,5,1,0.007102272727272727,0.0
201,1062,1,1,0.0014204545454545455,0.0011409971178503902
201,1065,1,1,0.0014204545454545455,0.0007133976921913261
201,1070,2,1,0.002840909090909091,0.0005715965330645237
201,1071,1,1,0.0014204545454545455,4.305669640460069e-05
201,1081,1,1,0.0014204545454545455,0.00018444044190773308
201,1082,1,1,0.0014204545454545455,4.305669640460069e-05
201,1090,3,1,0.004261363636363636,0.000392290526478598
201,1093,9,1,0.01278409090909091,0.0001261886168134208
201,1099,1,1,0.0014204545454545455,0.0
201,1102,6,1,0.008522727272727272,0.0
201,1105,1,1,0.0014204545454545455,5.0534310030108134e-05
201,1106,1,1,0.0014204545454545455,0.001289768922566318
201,1107,6,1,0.008522727272727272,0.00021401182315083347
201,1108,1,1,0.0014204545454545455,0.001413561785803392
201,1121,1,1,0.0014204545454545455,0.00010558060121194996
201,1128,2,1,0.002840909090909091,7.133727438361117e-05
201,1129,6,1,0.008522727272727272,0.0036722392054007835
201,1130,9,1,0.01278409090909091,0.0001261886168134208
201,1137,3,1,0.004261363636363636,0.00036676340848490143
201,1140,1,1,0.0014204545454545455,0.002769019895802433
201,1150,1,1,0.0014204545454545455,0.0008084925638257199
201,1204,2,1,0.002840909090909091,0.00108292125732363
201,1241,1,1,0.0014204545454545455,0.0012360919894847842
201,1242,1,1,0.0014204545454545455,0.0023414204701433686
201,1263,1,1,0.0014204545454545455,0.0009526085308126191
201,1272,3,1,0.004261363636363636,0.0011426794144999669
201,1274,1,1,0.0014204545454545455,0.0007358327308038714
